yil;Il;toplam;"Hastalık
Illness";"Aile
geçimsizliği
Family
incompatibility";"Geçim
zorluğu
Economic
problems";"Ticari
başarısızlık
Business
failure";"Hissi0ilişki0ve
istediği0ile0evlenememe
Emotional0relationship
and0not0marrying
the0person0wanted";"Öğrenim
başarısızlığı
Educational
failure";"Diğer
Other";"Bilinmeyen
Unknown";;;;;;;;;
2022;Afyonkarahisar;41;10;1;0;0;0;2;9;19;;;;;;;;;
2022;Ağrı;18;4;0;0;0;0;0;6;8;;;;;;;;;
2022;Amasya;11;3;0;1;0;0;0;2;5;;;;;;;;;
2022;Ankara;277;101;24;20;2;9;0;99;22;;;;;;;;;
2022;Antalya;158;49;4;11;0;4;2;43;45;;;;;;;;;
2022;Artvin;7;0;0;1;0;0;0;3;3;;;;;;;;;
2022;Aydın;76;26;4;6;0;2;0;19;19;;;;;;;;;
2022;Balıkesir;78;22;2;2;0;1;0;20;31;;;;;;;;;
2022;Bilecik;13;1;0;0;0;1;0;3;8;;;;;;;;;
2022;Bingöl;14;5;0;0;0;0;0;8;1;;;;;;;;;
2022;Bitlis;16;4;0;1;0;0;0;3;8;;;;;;;;;
2022;Bolu;19;4;0;1;0;0;0;5;9;;;;;;;;;
2022;Burdur;19;3;0;2;0;0;0;4;10;;;;;;;;;
2022;Bursa;155;50;8;14;0;3;1;39;40;;;;;;;;;
2022;Çanakkale;40;10;1;2;0;1;0;11;15;;;;;;;;;
2022;Çankırı;8;3;1;1;0;0;0;1;2;;;;;;;;;
2022;Çorum;39;6;0;5;0;2;0;8;18;;;;;;;;;
2022;Denizli;75;16;2;6;0;4;0;22;25;;;;;;;;;
2022;Diyarbakır;111;21;9;4;0;5;0;44;28;;;;;;;;;
2022;Edirne;25;8;0;4;0;0;0;3;10;;;;;;;;;
2022;Elazığ;26;5;0;1;0;0;1;10;9;;;;;;;;;
2022;Erzincan;15;3;1;1;0;0;0;2;8;;;;;;;;;
2022;Erzurum;27;8;1;3;0;0;0;8;7;;;;;;;;;
2022;Eskişehir;58;13;1;6;0;2;0;25;11;;;;;;;;;
2022;Gaziantep;89;23;6;9;0;2;0;31;18;;;;;;;;;
2022;Giresun;12;4;0;0;0;0;0;7;1;;;;;;;;;
2022;Gümüşhane;1;0;0;0;0;0;0;0;1;;;;;;;;;
2022;Hakkari;16;4;1;2;0;0;0;3;6;;;;;;;;;
2022;Hatay;66;10;3;3;0;2;0;26;22;;;;;;;;;
2022;Isparta;30;15;1;0;0;0;0;2;12;;;;;;;;;
2022;Mersin;142;37;9;8;0;4;0;46;38;;;;;;;;;
2022;İstanbul;540;167;15;49;2;22;0;237;48;;;;;;;;;
2022;İzmir;211;51;3;23;1;7;2;67;57;;;;;;;;;
2022;Kars;20;4;3;3;0;0;0;2;8;;;;;;;;;
2022;Kastamonu;19;3;1;2;0;0;0;6;7;;;;;;;;;
2022;Kayseri;97;33;5;6;0;2;1;29;21;;;;;;;;;
2022;Kırklareli;19;5;2;1;0;0;0;4;7;;;;;;;;;
2022;Kırşehir;23;5;1;2;0;0;0;9;6;;;;;;;;;
2022;Kocaeli;93;21;7;7;0;5;0;30;23;;;;;;;;;
2022;Konya;110;17;4;6;0;2;1;45;35;;;;;;;;;
2022;Kütahya;28;4;3;1;0;2;0;6;12;;;;;;;;;
2022;Malatya;37;10;4;1;0;1;0;11;10;;;;;;;;;
2022;Manisa;72;16;5;6;0;1;1;14;29;;;;;;;;;
2022;Kahramanmaraş;61;16;3;0;0;0;0;12;30;;;;;;;;;
2022;Mardin;32;6;1;0;0;0;0;9;16;;;;;;;;;
2022;Muğla;86;11;1;6;0;3;0;10;55;;;;;;;;;
2022;Muş;19;8;0;0;0;0;0;4;7;;;;;;;;;
2022;Nevşehir;14;3;1;0;0;2;0;3;5;;;;;;;;;
2022;Niğde;18;5;0;2;0;0;0;5;6;;;;;;;;;
2022;Ordu;51;10;4;2;0;1;0;10;24;;;;;;;;;
2022;Rize;16;5;2;0;0;0;0;1;8;;;;;;;;;
2022;Sakarya;37;14;2;6;0;0;0;8;7;;;;;;;;;
2022;Samsun;83;25;2;4;0;2;1;25;24;;;;;;;;;
2022;Siirt;23;4;4;0;0;1;0;5;9;;;;;;;;;
2022;Sinop;12;4;1;0;0;0;0;4;3;;;;;;;;;
2022;Sivas;33;8;2;1;0;4;0;9;9;;;;;;;;;
2022;Tekirdağ;70;14;5;7;0;0;0;18;26;;;;;;;;;
2022;Tokat;31;6;2;2;0;0;0;8;13;;;;;;;;;
2022;Trabzon;30;14;1;1;0;1;0;6;7;;;;;;;;;
2022;Tunceli;12;1;0;0;0;0;0;3;8;;;;;;;;;
2022;Şanlıurfa;67;14;3;6;0;0;0;28;16;;;;;;;;;
2022;Uşak;38;14;4;3;0;0;0;8;9;;;;;;;;;
2022;Van;53;7;4;3;0;1;0;20;18;;;;;;;;;
2022;Yozgat;21;4;0;1;0;1;0;10;5;;;;;;;;;
2022;Zonguldak;41;9;1;1;0;0;0;9;21;;;;;;;;;
2022;Aksaray;17;4;0;1;0;0;0;4;8;;;;;;;;;
2022;Bayburt;2;0;0;0;0;0;0;1;1;;;;;;;;;
2022;Karaman;22;5;1;2;0;1;0;4;9;;;;;;;;;
2022;Kırıkkale;18;2;0;3;0;0;0;6;7;;;;;;;;;
2022;Batman;33;8;1;2;0;1;0;9;12;;;;;;;;;
2022;Şırnak;30;6;1;0;0;1;0;13;9;;;;;;;;;
2022;Bartın0;15;1;1;0;0;0;0;2;11;;;;;;;;;
2022;Ardahan;6;0;0;1;0;0;0;3;2;;;;;;;;;
2022;Iğdır;19;1;0;0;0;0;0;8;10;;;;;;;;;
2022;Yalova;12;2;0;2;0;0;0;3;5;;;;;;;;;
2022;Karabük;20;7;1;0;0;0;0;4;8;;;;;;;;;
2022;Kilis0;9;2;0;2;0;0;0;2;3;;;;;;;;;
2022;Osmaniye;29;4;4;4;0;0;0;5;12;;;;;;;;;
2022;Düzce;15;3;0;1;0;0;0;4;7;;;;;;;;;
2021;Türkiye;4194;1085;191;324;5;95;6;1596;892;;;;;;;;;
2021;Adana;128;44;7;5;0;3;0;46;23;;;;;;;;;
2021;Adıyaman;23;4;1;2;0;1;0;7;8;;;;;;;;;
2021;Afyonkarahisar;37;3;2;4;0;0;1;13;14;;;;;;;;;
2021;Ağrı;25;4;0;0;0;1;0;9;11;;;;;;;;;
2021;Amasya;14;5;0;0;0;1;0;5;3;;;;;;;;;
2021;Ankara;268;86;12;39;0;7;0;114;10;;;;;;;;;
2021;Antalya;150;39;7;5;0;2;0;41;56;;;;;;;;;
2021;Artvin;7;5;0;0;0;0;0;1;1;;;;;;;;;
2021;Aydın;81;16;5;2;0;1;0;38;19;;;;;;;;;
2021;Balıkesir;72;20;2;4;0;3;0;29;14;;;;;;;;;
2021;Bilecik;8;3;0;0;0;0;0;2;3;;;;;;;;;
2021;Bingöl;19;0;0;0;0;0;0;9;10;;;;;;;;;
2021;Bitlis;14;2;1;2;0;0;0;7;2;;;;;;;;;
2021;Bolu;14;3;0;0;0;0;0;8;3;;;;;;;;;
2021;Burdur;17;3;0;1;0;0;0;4;9;;;;;;;;;
2021;Bursa;164;46;3;10;1;4;0;55;45;;;;;;;;;
2021;Çanakkale;36;8;0;4;0;0;0;12;12;;;;;;;;;
2021;Çankırı;8;3;1;1;0;0;0;2;1;;;;;;;;;
2021;Çorum;26;5;3;3;0;0;0;7;8;;;;;;;;;
2021;Denizli;82;22;9;2;0;1;0;29;19;;;;;;;;;
2021;Diyarbakır;107;19;5;6;0;3;0;51;23;;;;;;;;;
2021;Edirne;26;3;0;5;1;1;0;5;11;;;;;;;;;
2021;Elazığ;45;12;0;3;0;2;0;24;4;;;;;;;;;
2021;Erzincan;10;2;0;0;0;0;1;3;4;;;;;;;;;
2021;Erzurum;44;8;4;3;0;1;0;18;10;;;;;;;;;
2021;Eskişehir;54;13;0;5;0;0;0;23;13;;;;;;;;;
2021;Gaziantep;99;30;6;9;0;2;0;45;7;;;;;;;;;
2021;Giresun;21;8;0;1;0;0;0;10;2;;;;;;;;;
2021;Gümüşhane;2;0;0;0;0;0;0;2;0;;;;;;;;;
2021;Hakkari;19;2;1;0;0;1;0;4;11;;;;;;;;;
2021;Hatay;64;15;3;4;0;1;0;30;11;;;;;;;;;
2021;Isparta;28;7;2;3;0;0;0;10;6;;;;;;;;;
2021;Mersin;120;30;4;6;0;5;0;58;17;;;;;;;;;
2021;İstanbul;577;162;30;68;2;15;0;255;45;;;;;;;;;
2021;İzmir;280;78;12;24;0;4;0;119;43;;;;;;;;;
