"Yil
Year";"Il
Province";"Toplam
Total";Yas grubu Age group;;;;;;;;;;;;;;;
2022;Ankara;  277;  8;  20;  31;  40;  26;  26;  34;  18;  18;  22;  12;  4;  11;  7;;
2022;Antalya;  158;0;  15;  13;  25;  18;  10;  17;  13;  12;  11;  5;  5;  2;  12;;
2022;Artvin;  7;0;  1;0;0;0;  2;  1;0;  1;  1;0;0;0;  1;;
2022;Aydin;  76;0;  5;  9;  4;  11;  11;  5;  3;  7;  5;  3;  1;  6;  6;;
2022;Balikesir;  78;  1;  6;  6;  3;  7;  6;  6;  4;  5;  6;  5;  9;  5;  9;;
2022;Bilecik;  13;0;  2;  1;  1;  2;  1;  1;  1;  1;  2;0;0;  1;0;;
2022;Bingol;  14;0;  3;  3;0;  2;0;  2;0;  1;  1;0;0;  1;  1;;
2022;Bitlis;  16;  2;  5;  2;  3;  2;  1;  1;0;0;0;0;0;0;0;;
2022;Bolu;  19;0;0;  1;  3;  1;0;  6;  1;  1;  3;  1;0;  2;0;;
2022;Burdur;  19;0;0;  4;0;  1;  4;  1;  1;  1;  4;0;  1;  1;  1;;
2022;Bursa;  155;0;  10;  17;  23;  16;  16;  17;  11;  16;  8;  4;  8;  3;  6;;
2022;canakkale;  40;0;  3;  6;  3;  4;  2;  1;0;  4;  3;  4;  3;  2;  5;;
2022;cankiri;  8;0;0;  1;0;0;  1;  2;0;0;  1;  2;0;  1;0;;
2022;corum;  39;0;  3;  4;  6;  5;  6;  5;0;  2;  1;  3;  2;0;  2;;
2022;Denizli;  75;0;  2;  10;  11;  9;  9;  8;  6;  7;  4;  2;  4;0;  3;;
2022;Diyarbakir;  111;  5;  27;  20;  15;  16;  7;  5;  7;  1;  2;  4;  1;0;  1;;
2022;Edirne;  25;0;  1;0;  1;  2;  2;  3;  2;  1;0;  4;  5;  2;  2;;
2022;Elazig;  26;  1;  7;  4;  3;0;0;  2;  2;  1;  2;  2;0;  1;  1;;
2022;Erzincan;  15;0;  1;  2;  2;0;  1;  2;  1;0;  1;  1;  1;0;  3;;
2022;Erzurum;  27;  1;0;  7;  4;  3;  3;  2;  2;0;  1;  1;0;  1;  2;;
2022;Eskişehir;  58;  1;  1;  5;  7;  9;  6;  2;  8;  11;  2;  3;  2;0;  1;;
2022;Gaziantep;  89;  4;  14;  9;  11;  14;  10;  6;  7;  8;  1;0;0;  2;  3;;
2022;Giresun;  12;0;  1;  2;  1;  1;  4;0;  1;  1;  1;0;0;0;0;;
2022;Gumuşhane;  1;0;  1;0;0;0;0;0;0;0;0;0;0;0;0;;
2022;Hakkari;  16;0;  1;  5;  1;  2;  5;0;  2;0;0;0;0;0;0;;
2022;Hatay;  66;  1;  8;  8;  15;  9;  3;  5;  6;  4;0;  3;  2;0;  2;;
2022;isparta;  30;  2;  1;  6;  4;  3;  3;  4;0;  1;  1;  1;  3;  1;0;;
2022;Mersin;  142;  2;  15;  22;  14;  8;  13;  11;  13;  6;  3;  10;  5;  10;  10;;
2022;İstanbul;  540;  8;  44;  67;  78;  67;  59;  63;  38;  33;  21;  16;  14;  9;  23;;
2022;İzmir;  211;0;  14;  30;  27;  25;  22;  18;  14;  17;  13;  11;  10;  5;  5;;
2022;Kars;  20;  1;  2;  6;  3;  1;0;  1;0;  1;  4;  1;0;0;0;;
2022;Kastamonu;  19;0;0;  1;  1;  2;  3;0;  3;0;  1;  1;  2;  1;  4;;
2022;Kayseri;  97;  1;  9;  11;  16;  15;  12;  8;  8;  2;  4;  2;  3;0;  6;;
2022;Kirklareli;  19;0;  1;  1;  5;0;  2;  2;  5;  1;  2;0;0;0;0;;
2022;Kirşehir;  23;  1;  1;  3;  3;  2;  3;  5;0;  1;  3;0;  1;0;0;;
2022;Kocaeli;  93;  1;  5;  13;  11;  8;  10;  11;  12;  6;  4;  3;0;  3;  6;;
2022;Konya;  110;  2;  12;  23;  10;  14;  13;  9;  4;  7;  3;  3;  5;  2;  3;;
2022;Kutahya;  28;0;  3;  1;  2;  3;  2;  2;  3;  2;  1;  1;  1;  2;  5;;
2022;Malatya;  37;  1;  4;  3;  3;  10;  3;  1;  2;  1;  3;  1;  1;0;  4;;
2022;Manisa;  72;  2;  7;  5;  8;  3;  6;  4;  3;  6;  8;  7;  6;  3;  4;;
2022;Kahramanmaraş;  61;  2;  5;  13;  8;  4;  7;  7;  4;  2;  2;  1;  1;  2;  3;;
